,# time,left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left pressure 13[N/cm²],left pressure 14[N/cm²],left pressure 15[N/cm²],left pressure 16[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left angular X[dps],left angular Y[dps],left angular Z[dps],left total force[N],left center of pressure X[%],left center of pressure Y[%],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right pressure 13[N/cm²],right pressure 14[N/cm²],right pressure 15[N/cm²],right pressure 16[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right angular X[dps],right angular Y[dps],right angular Z[dps],right total force[N],right center of pressure X[%],right center of pressure Y[%]
0,1188.56,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,5.25,12.0,12.25,3.75,0.75,11.25,3.0,4.25,-0.223145,-0.009766,1.081543,-12.67,147.910004,-1.12,487.0,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.658203,-0.875977,0.560547,-34.93,80.010002,-16.24,0.0,0.0,0.0
1,1188.5766666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,5.083333333333333,11.75,11.666666666666666,3.083333333333333,0.6666666666666666,11.5,3.0,4.583333333333333,-0.2872723333333333,-0.013672,1.0751953333333333,-19.203333333333333,184.380005,-2.543333333333333,471.6666666666667,0.2833333333333333,0.0166666666666666,4.25,5.916666666666667,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.885742,-0.302409,0.8134766666666666,-37.753334,125.83666966666668,-24.196667,101.66666666666669,-0.1333333333333333,-0.0166666666666666
2,1188.5933333333332,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,4.916666666666667,11.5,11.083333333333334,2.416666666666667,0.5833333333333334,11.75,3.0,4.916666666666667,-0.3513996666666666,-0.017578,1.0688476666666666,-25.736666666666668,220.850006,-3.9666666666666655,456.3333333333333,0.2866666666666667,0.0233333333333333,8.5,11.833333333333334,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.113281,0.2711589999999999,1.0664063333333331,-40.576668,171.66333733333337,-32.153334,203.3333333333333,-0.2666666666666666,-0.0333333333333333
3,1188.61,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.75,11.25,10.5,1.75,0.5,12.0,3.0,5.25,-0.415527,-0.021484,1.0625,-32.27,257.320007,-5.39,441.0,0.29,0.03,12.75,17.75,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34082,0.844727,1.319336,-43.400002,217.490005,-40.110001,305.0,-0.4,-0.05
4,1188.6266666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,4.166666666666667,10.5,9.75,1.6666666666666667,0.8333333333333333,11.833333333333334,2.833333333333333,5.166666666666667,-0.5157876666666666,-0.0024409999999999,1.0667316666666666,-32.22333366666667,291.9466753333333,-8.33,419.3333333333333,0.29,0.0233333333333333,12.5,17.916666666666668,2.0,4.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26888,0.7264,1.1482746666666668,-35.653334666666666,193.83000166666667,-37.986668,332.6666666666667,-0.39,-0.06
5,1188.6433333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.583333333333333,9.75,9.0,1.5833333333333333,1.1666666666666663,11.666666666666666,2.6666666666666665,5.083333333333333,-0.6160483333333333,0.016602,1.0709633333333333,-32.176667333333334,326.5733436666667,-11.27,397.6666666666667,0.29,0.0166666666666666,12.25,18.08333333333333,2.5,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19694,0.608073,0.9772133333333332,-27.90666733333333,170.16999833333333,-35.863335,360.3333333333333,-0.38,-0.07
6,1188.66,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.0,9.0,8.25,1.5,1.5,11.5,2.5,5.0,-0.716309,0.035645,1.075195,-32.130001,361.200012,-14.21,376.0,0.29,0.01,12.0,18.25,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.489746,0.806152,-20.16,146.509995,-33.740002,388.0,-0.37,-0.08
7,1188.6766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.333333333333333,7.166666666666667,6.833333333333333,1.8333333333333333,1.75,9.416666666666666,2.0,4.333333333333333,-1.005534,-0.0642899999999999,1.589518,21.69999966666667,392.3966776666667,-0.9566670000000012,318.0,0.2833333333333333,-0.01,11.916666666666666,17.75,3.75,9.916666666666666,0.0,0.25,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.25,0.1666666666666666,0.0,0.0,0.0,-0.1321613333333333,0.3618163333333333,0.899414,-31.173333666666668,103.41332966666668,-22.82000133333333,410.0,-0.3566666666666667,-0.0833333333333333
8,1188.6933333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.6666666666666667,5.333333333333334,5.416666666666666,2.1666666666666665,2.0,7.333333333333333,1.5,3.666666666666667,-1.294759,-0.1642249999999999,2.103841,75.53000033333333,423.5933433333333,12.296665999999998,260.0,0.2766666666666666,-0.03,11.833333333333334,17.25,4.5,10.833333333333334,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,-0.1393226666666666,0.2338866666666666,0.992676,-42.18666733333333,60.316664333333335,-11.900000666666664,432.0,-0.3433333333333333,-0.0866666666666666
9,1188.71,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,3.5,4.0,2.5,2.25,5.25,1.0,3.0,-1.583984,-0.26416,2.618164,129.360001,454.790009,25.549999,202.0,0.27,-0.05,11.75,16.75,5.25,11.75,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,-0.146484,0.105957,1.085938,-53.200001,17.219999,-0.98,454.0,-0.33,-0.09
